C:\Users\담\Desktop\IMG\center_2022_06_16_18_37_48_742.jpg,C:\Users\담\Desktop\IMG\left_2022_06_16_18_37_48_742.jpg,C:\Users\담\Desktop\IMG\right_2022_06_16_18_37_48_742.jpg,0,0,0,5.396097E-05
C:\Users\담\Desktop\IMG\center_2022_06_16_18_37_48_813.jpg,C:\Users\담\Desktop\IMG\left_2022_06_16_18_37_48_813.jpg,C:\Users\담\Desktop\IMG\right_2022_06_16_18_37_48_813.jpg,0,0,0,3.647564E-05
C:\Users\담\Desktop\IMG\center_2022_06_16_18_37_48_882.jpg,C:\Users\담\Desktop\IMG\left_2022_06_16_18_37_48_882.jpg,C:\Users\담\Desktop\IMG\right_2022_06_16_18_37_48_882.jpg,0,0,0,0.0002780074
C:\Users\담\Desktop\IMG\center_2022_06_16_18_37_48_950.jpg,C:\Users\담\Desktop\IMG\left_2022_06_16_18_37_48_950.jpg,C:\Users\담\Desktop\IMG\right_2022_06_16_18_37_48_950.jpg,0,0,0,4.865332E-05
C:\Users\담\Desktop\IMG\center_2022_06_16_18_37_49_017.jpg,C:\Users\담\Desktop\IMG\left_2022_06_16_18_37_49_017.jpg,C:\Users\담\Desktop\IMG\right_2022_06_16_18_37_49_017.jpg,0,0,0,0.0002665298
C:\Users\담\Desktop\IMG\center_2022_06_16_18_37_49_088.jpg,C:\Users\담\Desktop\IMG\left_2022_06_16_18_37_49_088.jpg,C:\Users\담\Desktop\IMG\right_2022_06_16_18_37_49_088.jpg,0,0,0,0.0002730172
C:\Users\담\Desktop\IMG\center_2022_06_16_18_37_49_159.jpg,C:\Users\담\Desktop\IMG\left_2022_06_16_18_37_49_159.jpg,C:\Users\담\Desktop\IMG\right_2022_06_16_18_37_49_159.jpg,0,0,0,7.006079E-05
C:\Users\담\Desktop\IMG\center_2022_06_16_18_37_49_228.jpg,C:\Users\담\Desktop\IMG\left_2022_06_16_18_37_49_228.jpg,C:\Users\담\Desktop\IMG\right_2022_06_16_18_37_49_228.jpg,0,0,0,8.666166E-05
C:\Users\담\Desktop\IMG\center_2022_06_16_18_37_49_298.jpg,C:\Users\담\Desktop\IMG\left_2022_06_16_18_37_49_298.jpg,C:\Users\담\Desktop\IMG\right_2022_06_16_18_37_49_298.jpg,0,0,0,0.0002421829
C:\Users\담\Desktop\IMG\center_2022_06_16_18_37_49_365.jpg,C:\Users\담\Desktop\IMG\left_2022_06_16_18_37_49_365.jpg,C:\Users\담\Desktop\IMG\right_2022_06_16_18_37_49_365.jpg,0,0,0,0.0002658995
C:\Users\담\Desktop\IMG\center_2022_06_16_18_37_49_436.jpg,C:\Users\담\Desktop\IMG\left_2022_06_16_18_37_49_436.jpg,C:\Users\담\Desktop\IMG\right_2022_06_16_18_37_49_436.jpg,0,0,0,4.917068E-05
C:\Users\담\Desktop\IMG\center_2022_06_16_18_37_49_504.jpg,C:\Users\담\Desktop\IMG\left_2022_06_16_18_37_49_504.jpg,C:\Users\담\Desktop\IMG\right_2022_06_16_18_37_49_504.jpg,0,0.080721,0,0.003875339
C:\Users\담\Desktop\IMG\center_2022_06_16_18_37_49_574.jpg,C:\Users\담\Desktop\IMG\left_2022_06_16_18_37_49_574.jpg,C:\Users\담\Desktop\IMG\right_2022_06_16_18_37_49_574.jpg,0,0.3130992,0,0.2200688
C:\Users\담\Desktop\IMG\center_2022_06_16_18_37_49_644.jpg,C:\Users\담\Desktop\IMG\left_2022_06_16_18_37_49_644.jpg,C:\Users\담\Desktop\IMG\right_2022_06_16_18_37_49_644.jpg,0,0.4952373,0,0.5491933
C:\Users\담\Desktop\IMG\center_2022_06_16_18_37_49_714.jpg,C:\Users\담\Desktop\IMG\left_2022_06_16_18_37_49_714.jpg,C:\Users\담\Desktop\IMG\right_2022_06_16_18_37_49_714.jpg,0,0.7320678,0,1.074548
C:\Users\담\Desktop\IMG\center_2022_06_16_18_37_49_784.jpg,C:\Users\담\Desktop\IMG\left_2022_06_16_18_37_49_784.jpg,C:\Users\담\Desktop\IMG\right_2022_06_16_18_37_49_784.jpg,0,0.9130011,0,1.716588
C:\Users\담\Desktop\IMG\center_2022_06_16_18_37_49_854.jpg,C:\Users\담\Desktop\IMG\left_2022_06_16_18_37_49_854.jpg,C:\Users\담\Desktop\IMG\right_2022_06_16_18_37_49_854.jpg,0,1,0,2.628882
C:\Users\담\Desktop\IMG\center_2022_06_16_18_37_49_923.jpg,C:\Users\담\Desktop\IMG\left_2022_06_16_18_37_49_923.jpg,C:\Users\담\Desktop\IMG\right_2022_06_16_18_37_49_923.jpg,0,1,0,3.329026
C:\Users\담\Desktop\IMG\center_2022_06_16_18_37_49_992.jpg,C:\Users\담\Desktop\IMG\left_2022_06_16_18_37_49_992.jpg,C:\Users\담\Desktop\IMG\right_2022_06_16_18_37_49_992.jpg,0,1,0,4.035562
C:\Users\담\Desktop\IMG\center_2022_06_16_18_37_50_064.jpg,C:\Users\담\Desktop\IMG\left_2022_06_16_18_37_50_064.jpg,C:\Users\담\Desktop\IMG\right_2022_06_16_18_37_50_064.jpg,0,1,0,4.969008
C:\Users\담\Desktop\IMG\center_2022_06_16_18_37_50_136.jpg,C:\Users\담\Desktop\IMG\left_2022_06_16_18_37_50_136.jpg,C:\Users\담\Desktop\IMG\right_2022_06_16_18_37_50_136.jpg,0,1,0,5.895021
